ID,MU_GLOBAL,MU_SOURCE1,MU_SOURCE2,ISSOIL,SHARE,SEQ,SU_SYM74,SU_CODE74,SU_SYM85,SU_CODE85,SU_SYM90,SU_CODE90,DRAINAGE,T_GRAVEL,T_SAND,T_SILT,T_CLAY,T_USDA_TEX_CLASS,T_BULK_DENSITY,T_OC,S_GRAVEL,S_SAND,S_SILT,S_CLAY,S_USDA_TEX_CLASS,S_BULK_DENSITY,S_OC
1,7001,1,1,0,100,1,,,UR,228,UR,201,,,,,,,,,,,,,,,
2,7002,2,2,0,100,1,,,HD,227,HD,202,,,,,,,,,,,,,,,
3,7003,3,3,0,100,1,,,WR,230,WR,198,,,,,,,,,,,,,,,
4,7004,4,4,0,100,1,,,Od,156,HSf,89,1,1,20,40,40,3,0.1,33.63,2,47,26,27,10,0.1,32.89
5,7005,5,5,0,100,1,,,GG,231,GG,199,,,,,,,,,,,,,,,
6,7006,70001,70001,1,70,1,,,Tv,197,ANz,35,5,4,74,21,5,11,0.99,3.27,10,75,21,4,12,0.97,1.85
7,7006,70001,70085,1,20,2,,,Th,194,ANh,32,5,4,72,16,12,11,0.99,3.43,10,62,21,17,11,0.94,1.66
8,7006,70001,70086,1,10,3,,,Tv,197,ANi,37,4,4,41,40,19,9,0.76,6.44,9,44,37,19,9,0.79,2.44
9,7007,70002,70001,1,80,1,,,Tv,197,ANz,35,5,4,74,21,5,11,0.99,3.27,10,75,21,4,12,0.97,1.85
10,7007,70002,70085,1,20,2,,,Th,194,ANh,32,5,4,72,16,12,11,0.99,3.43,10,62,21,17,11,0.94,1.66
11,7008,70003,70001,1,90,1,,,Tv,197,ANz,35,5,4,74,21,5,11,0.99,3.27,10,75,21,4,12,0.97,1.85
12,7008,70003,70011,1,10,2,,,Ox,159,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
13,7009,70004,70001,1,90,1,,,Tv,197,ANz,35,5,4,74,21,5,11,0.99,3.27,10,75,21,4,12,0.97,1.85
14,7009,70004,70012,1,10,2,,,Oe,158,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
15,7010,70005,70001,1,90,1,,,Tv,197,ANz,35,5,4,74,21,5,11,0.99,3.27,10,75,21,4,12,0.97,1.85
16,7010,70005,70050,1,10,2,,,Gm,84,GLm,14,2,4,39,39,22,9,1.28,1.65,3,37,35,28,5,1.35,0.69
17,7011,70006,70001,1,100,1,,,Tv,197,ANz,35,5,4,74,21,5,11,0.99,3.27,10,75,21,4,12,0.97,1.85
18,7012,70007,70002,1,100,1,,,Qa,174,ARa,43,6,3,88,7,5,13,1.62,0.4,4,89,6,5,13,1.51,0.23
19,7013,70008,70003,1,80,1,,,Qc,175,ARb,40,6,2,89,6,5,13,1.57,0.5,1,89,6,5,13,1.55,0.3
20,7013,70008,70099,1,10,2,,,Xk,217,CLl,59,4,10,45,29,26,9,1.44,0.58,8,38,29,33,5,1.32,0.3
21,7013,70008,70102,1,10,3,,,Zo,223,SCh,163,4,7,34,41,25,9,1.25,0.46,8,43,34,23,9,1.31,0.32
22,7014,70009,70003,1,90,1,,,Qc,175,ARb,40,6,2,89,6,5,13,1.57,0.5,1,89,6,5,13,1.55,0.3
23,7014,70009,70049,1,10,2,,,Gm,84,GLm,14,2,4,39,39,22,9,1.28,1.65,3,37,35,28,5,1.35,0.69
24,7015,70010,70003,1,90,1,,,Qc,175,ARb,40,6,2,89,6,5,13,1.57,0.5,1,89,6,5,13,1.55,0.3
25,7015,70010,70047,1,5,2,,,Gd,66,GLd,12,2,2,40,39,21,9,1.3,1.17,6,41,34,25,9,1.36,0.4
26,7015,70010,70052,1,5,3,,,Gx,90,GLi,17,2,4,37,46,17,9,1.44,3.14,5,33,46,21,9,1.54,0.8
27,7016,70011,70003,1,90,1,,,Qc,175,ARb,40,6,2,89,6,5,13,1.57,0.5,1,89,6,5,13,1.55,0.3
28,7016,70011,70065,1,10,2,,,Kh,124,KSh,93,4,8,37,42,21,9,1.28,1.2,5,37,43,20,9,1.32,0.48
29,7017,70012,70003,1,90,1,,,Qc,175,ARb,40,6,2,89,6,5,13,1.57,0.5,1,89,6,5,13,1.55,0.3
30,7017,70012,70075,1,10,2,,,Pof,170,PZf,151,6,3,86,8,6,12,1.41,2.02,3,86,6,8,12,1.57,0.51
31,7018,70013,70003,1,90,1,,,Qc,175,ARb,40,6,2,89,6,5,13,1.57,0.5,1,89,6,5,13,1.55,0.3
32,7018,70013,70076,1,10,2,,,Qc,175,ARb,40,6,2,89,6,5,13,1.57,0.5,1,89,6,5,13,1.55,0.3
33,7019,70014,70003,1,90,1,,,Qc,175,ARb,40,6,2,89,6,5,13,1.57,0.5,1,89,6,5,13,1.55,0.3
34,7019,70014,70079,1,10,2,,,Rx,189,RGi,161,3,22,26,63,11,7,1.33,1.15,28,26,63,11,7,1.48,0.4
35,7020,70015,70003,1,90,1,,,Qc,175,ARb,40,6,2,89,6,5,13,1.57,0.5,1,89,6,5,13,1.55,0.3
36,7020,70015,70102,1,10,2,,,Zo,223,SCh,163,4,7,34,41,25,9,1.25,0.46,8,43,34,23,9,1.31,0.32
37,7021,70016,70003,1,100,1,,,Qc,175,ARb,40,6,2,89,6,5,13,1.57,0.5,1,89,6,5,13,1.55,0.3
38,7022,70017,70004,1,90,1,,,Bk,32,CMc,65,5,5,76,12,12,11,1.48,0.36,9,70,14,16,11,1.43,0.34
39,7022,70017,70033,1,10,2,,,Ck,45,CHk,53,4,4,13,42,45,2,1.16,2.1,6,13,44,43,2,1.36,0.86
40,7023,70018,70005,1,80,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
41,7023,70018,70026,1,10,2,,,Bd,14,CMd,63,5,10,75,15,10,11,1.49,0.7,9,68,17,15,11,1.5,0.27
42,7023,70018,70042,1,10,3,,,Eo,60,LPk,100,4,21,76,16,8,11,1.45,1.93,,,,,,,
43,7024,70019,70005,1,80,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
44,7024,70019,70028,1,10,2,,,Be,18,CMe,62,4,10,23,29,48,3,1.28,1.17,24,26,29,45,3,1.35,0.58
45,7024,70019,70089,1,10,3,,,Ud,199,LPm,101,4,20,74,16,10,11,1.45,1.04,,,,,,,
46,7025,70020,70005,1,80,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
47,7025,70020,70036,1,10,2,,,De,52,PDe,126,4,1,35,54,11,7,1.36,1.2,4,37,43,20,9,1.61,0.25
48,7025,70020,70047,1,10,3,,,Gd,66,GLd,12,2,2,40,39,21,9,1.3,1.17,6,41,34,25,9,1.36,0.4
49,7026,70021,70005,1,80,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
50,7026,70021,70036,1,10,2,,,De,52,PDe,126,4,1,35,54,11,7,1.36,1.2,4,37,43,20,9,1.61,0.25
51,7026,70021,70052,1,10,3,,,Gx,90,GLi,17,2,4,37,46,17,9,1.44,3.14,5,33,46,21,9,1.54,0.8
52,7027,70022,70005,1,80,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
53,7027,70022,70036,1,10,2,,,De,52,PDe,126,4,1,35,54,11,7,1.36,1.2,4,37,43,20,9,1.61,0.25
54,7027,70022,70074,1,10,3,,,Phf,166,PZf,151,6,3,86,8,6,12,1.41,2.02,3,86,6,8,12,1.57,0.51
55,7028,70023,70005,1,80,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
56,7028,70023,70036,1,10,2,,,De,52,PDe,126,4,1,35,54,11,7,1.36,1.2,4,37,43,20,9,1.61,0.25
57,7028,70023,70079,1,10,3,,,Rx,189,RGi,161,3,22,26,63,11,7,1.33,1.15,28,26,63,11,7,1.48,0.4
58,7029,70024,70005,1,80,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
59,7029,70024,70036,1,20,2,,,De,52,PDe,126,4,1,35,54,11,7,1.36,1.2,4,37,43,20,9,1.61,0.25
60,7030,70025,70005,1,80,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
61,7030,70025,70047,1,10,2,,,Gd,66,GLd,12,2,2,40,39,21,9,1.3,1.17,6,41,34,25,9,1.36,0.4
62,7030,70025,70074,1,10,3,,,Phf,166,PZf,151,6,3,86,8,6,12,1.41,2.02,3,86,6,8,12,1.57,0.51
63,7031,70026,70005,1,80,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
64,7031,70026,70048,1,20,2,,,Mo,154,GRh,79,4,10,25,54,21,7,1.31,1.6,10,23,49,28,5,1.49,0.4
65,7032,70027,70005,1,80,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
66,7032,70027,70052,1,10,2,,,Gx,90,GLi,17,2,4,37,46,17,9,1.44,3.14,5,33,46,21,9,1.54,0.8
67,7032,70027,70074,1,10,3,,,Phf,166,PZf,151,6,3,86,8,6,12,1.41,2.02,3,86,6,8,12,1.57,0.51
68,7033,70028,70005,1,80,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
69,7033,70028,70074,1,10,2,,,Phf,166,PZf,151,6,3,86,8,6,12,1.41,2.02,3,86,6,8,12,1.57,0.51
70,7033,70028,70079,1,10,3,,,Rx,189,RGi,161,3,22,26,63,11,7,1.33,1.15,28,26,63,11,7,1.48,0.4
71,7034,70029,70005,1,90,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
72,7034,70029,70011,1,10,2,,,Ox,159,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
73,7035,70030,70005,1,90,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
74,7035,70030,70026,1,10,2,,,Bd,14,CMd,63,5,10,75,15,10,11,1.49,0.7,9,68,17,15,11,1.5,0.27
75,7036,70031,70005,1,90,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
76,7036,70031,70028,1,10,2,,,Be,18,CMe,62,4,10,23,29,48,3,1.28,1.17,24,26,29,45,3,1.35,0.58
77,7037,70032,70005,1,90,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
78,7037,70032,70036,1,10,2,,,De,52,PDe,126,4,1,35,54,11,7,1.36,1.2,4,37,43,20,9,1.61,0.25
79,7038,70033,70005,1,90,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
80,7038,70033,70038,1,10,2,,,Dg,53,PDg,129,2,1,32,49,19,9,1.35,2.22,4,25,51,24,7,1.6,0.5
81,7039,70034,70005,1,90,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
82,7039,70034,70042,1,10,2,,,Eo,60,LPk,100,4,21,76,16,8,11,1.45,1.93,,,,,,,
83,7040,70035,70005,1,90,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
84,7040,70035,70047,1,10,2,,,Gd,66,GLd,12,2,2,40,39,21,9,1.3,1.17,6,41,34,25,9,1.36,0.4
85,7041,70036,70005,1,90,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
86,7041,70036,70048,1,10,2,,,Mo,154,GRh,79,4,10,25,54,21,7,1.31,1.6,10,23,49,28,5,1.49,0.4
87,7042,70037,70005,1,90,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
88,7042,70037,70052,1,10,2,,,Gx,90,GLi,17,2,4,37,46,17,9,1.44,3.14,5,33,46,21,9,1.54,0.8
89,7043,70038,70005,1,90,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
90,7043,70038,70057,1,10,2,,,Hh,101,PHh,132,4,2,38,39,23,9,1.3,1.95,4,40,37,23,9,1.39,0.67
91,7044,70039,70005,1,90,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
92,7044,70039,70070,1,10,2,,,Od,156,HSf,89,1,1,20,40,40,3,0.1,33.63,2,47,26,27,10,0.1,32.89
93,7045,70040,70005,1,90,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
94,7045,70040,70073,1,10,2,,,Phf,166,PZf,151,6,3,86,8,6,12,1.41,2.02,3,86,6,8,12,1.57,0.51
95,7046,70041,70005,1,90,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
96,7046,70041,70074,1,10,2,,,Phf,166,PZf,151,6,3,86,8,6,12,1.41,2.02,3,86,6,8,12,1.57,0.51
97,7047,70042,70005,1,90,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
98,7047,70042,70087,1,10,2,,,Ud,199,LPd,99,4,23,76,14,10,11,1.47,0.65,,,,,,,
99,7048,70043,70005,1,100,1,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
100,7049,70044,70006,1,90,1,,,Bh,31,CMx,66,4,2,21,29,50,3,1.23,1.43,4,21,28,51,3,1.38,0.58
101,7049,70044,70025,0,10,2,,,RK,226,RK,196,,,,,,,,,,,,,,,
102,7050,70045,70006,1,100,1,,,Bh,31,CMx,66,4,2,21,29,50,3,1.23,1.43,4,21,28,51,3,1.38,0.58
103,7051,70046,70007,1,90,1,,,Jc,112,FLc,3,2,10,79,15,6,12,1.4,0.41,10,79,15,6,12,1.5,0.17
104,7051,70046,70047,1,10,2,,,Gd,66,GLd,12,2,2,40,39,21,9,1.3,1.17,6,41,34,25,9,1.36,0.4
105,7052,70047,70007,1,90,1,,,Jc,112,FLc,3,2,10,79,15,6,12,1.4,0.41,10,79,15,6,12,1.5,0.17
106,7052,70047,70062,1,10,2,,,Je,117,FLe,2,2,18,80,12,8,12,1.27,0.58,10,79,11,10,11,1.44,0.24
107,7053,70048,70008,1,34,1,,,Jdg,116,FLd,4,2,10,79,12,9,11,1.39,0.87,17,79,11,10,11,1.5,0.26
108,7053,70048,70052,1,33,2,,,Gx,90,GLi,17,2,4,37,46,17,9,1.44,3.14,5,33,46,21,9,1.54,0.8
109,7053,70048,70078,1,33,3,,,Rx,189,RGi,161,3,22,26,63,11,7,1.33,1.15,28,26,63,11,7,1.48,0.4
110,7054,70049,70008,1,90,1,,,Jdg,116,FLd,4,2,10,79,12,9,11,1.39,0.87,17,79,11,10,11,1.5,0.26
111,7054,70049,70036,1,10,2,,,De,52,PDe,126,4,1,35,54,11,7,1.36,1.2,4,37,43,20,9,1.61,0.25
112,7055,70050,70008,1,90,1,,,Jdg,116,FLd,4,2,10,79,12,9,11,1.39,0.87,17,79,11,10,11,1.5,0.26
113,7055,70050,70047,1,10,2,,,Gd,66,GLd,12,2,2,40,39,21,9,1.3,1.17,6,41,34,25,9,1.36,0.4
114,7056,70051,70008,1,90,1,,,Jdg,116,FLd,4,2,10,79,12,9,11,1.39,0.87,17,79,11,10,11,1.5,0.26
115,7056,70051,70060,1,10,2,,,Jd,115,FLd,4,2,10,79,12,9,11,1.39,0.87,17,79,11,10,11,1.5,0.26
116,7057,70052,70008,1,90,1,,,Jdg,116,FLd,4,2,10,79,12,9,11,1.39,0.87,17,79,11,10,11,1.5,0.26
117,7057,70052,70061,1,10,2,,,Je,117,FLe,2,2,18,80,12,8,12,1.27,0.58,10,79,11,10,11,1.44,0.24
118,7058,70053,70008,1,90,1,,,Jdg,116,FLd,4,2,10,79,12,9,11,1.39,0.87,17,79,11,10,11,1.5,0.26
119,7058,70053,70070,1,10,2,,,Od,156,HSf,89,1,1,20,40,40,3,0.1,33.63,2,47,26,27,10,0.1,32.89
120,7059,70054,70008,1,90,1,,,Jdg,116,FLd,4,2,10,79,12,9,11,1.39,0.87,17,79,11,10,11,1.5,0.26
121,7059,70054,70074,1,10,2,,,Phf,166,PZf,151,6,3,86,8,6,12,1.41,2.02,3,86,6,8,12,1.57,0.51
122,7060,70055,70008,1,90,1,,,Jdg,116,FLd,4,2,10,79,12,9,11,1.39,0.87,17,79,11,10,11,1.5,0.26
123,7060,70055,70078,1,5,2,,,Rx,189,RGi,161,3,22,26,63,11,7,1.33,1.15,28,26,63,11,7,1.48,0.4
124,7060,70055,70079,1,5,3,,,Rx,189,RGi,161,3,22,26,63,11,7,1.33,1.15,28,26,63,11,7,1.48,0.4
125,7061,70056,70008,1,100,1,,,Jdg,116,FLd,4,2,10,79,12,9,11,1.39,0.87,17,79,11,10,11,1.5,0.26
126,7062,70057,70010,1,80,1,,,Gds,67,GLu,15,2,4,38,42,20,9,1.31,4.59,5,38,32,30,5,1.49,0.67
127,7062,70057,70028,1,10,2,,,Be,18,CMe,62,4,10,23,29,48,3,1.28,1.17,24,26,29,45,3,1.35,0.58
128,7062,70057,70047,1,10,3,,,Gd,66,GLd,12,2,2,40,39,21,9,1.3,1.17,6,41,34,25,9,1.36,0.4
129,7063,70058,70010,1,80,1,,,Gds,67,GLu,15,2,4,38,42,20,9,1.31,4.59,5,38,32,30,5,1.49,0.67
130,7063,70058,70036,1,10,2,,,De,52,PDe,126,4,1,35,54,11,7,1.36,1.2,4,37,43,20,9,1.61,0.25
131,7063,70058,70038,1,10,3,,,Dg,53,PDg,129,2,1,32,49,19,9,1.35,2.22,4,25,51,24,7,1.6,0.5
132,7064,70059,70010,1,80,1,,,Gds,67,GLu,15,2,4,38,42,20,9,1.31,4.59,5,38,32,30,5,1.49,0.67
133,7064,70059,70047,1,10,2,,,Gd,66,GLd,12,2,2,40,39,21,9,1.3,1.17,6,41,34,25,9,1.36,0.4
134,7064,70059,70070,1,10,3,,,Od,156,HSf,89,1,1,20,40,40,3,0.1,33.63,2,47,26,27,10,0.1,32.89
135,7065,70060,70010,1,90,1,,,Gds,67,GLu,15,2,4,38,42,20,9,1.31,4.59,5,38,32,30,5,1.49,0.67
136,7065,70060,70005,1,10,2,,,Bh,31,CMu,64,4,8,41,36,23,9,1.1,2.72,6,44,32,24,9,1.16,1.07
137,7066,70061,70010,1,90,1,,,Gds,67,GLu,15,2,4,38,42,20,9,1.31,4.59,5,38,32,30,5,1.49,0.67
138,7066,70061,70011,1,10,2,,,Ox,159,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
139,7067,70062,70010,1,90,1,,,Gds,67,GLu,15,2,4,38,42,20,9,1.31,4.59,5,38,32,30,5,1.49,0.67
140,7067,70062,70012,1,10,2,,,Oe,158,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
141,7068,70063,70010,1,90,1,,,Gds,67,GLu,15,2,4,38,42,20,9,1.31,4.59,5,38,32,30,5,1.49,0.67
142,7068,70063,70036,1,10,2,,,De,52,PDe,126,4,1,35,54,11,7,1.36,1.2,4,37,43,20,9,1.61,0.25
143,7069,70064,70010,1,90,1,,,Gds,67,GLu,15,2,4,38,42,20,9,1.31,4.59,5,38,32,30,5,1.49,0.67
144,7069,70064,70038,1,10,2,,,Dg,53,PDg,129,2,1,32,49,19,9,1.35,2.22,4,25,51,24,7,1.6,0.5
145,7070,70065,70010,1,90,1,,,Gds,67,GLu,15,2,4,38,42,20,9,1.31,4.59,5,38,32,30,5,1.49,0.67
146,7070,70065,70039,1,10,2,,,Dg,53,PDg,129,2,1,32,49,19,9,1.35,2.22,4,25,51,24,7,1.6,0.5
147,7071,70066,70010,1,90,1,,,Gds,67,GLu,15,2,4,38,42,20,9,1.31,4.59,5,38,32,30,5,1.49,0.67
148,7071,70066,70052,1,10,2,,,Gx,90,GLi,17,2,4,37,46,17,9,1.44,3.14,5,33,46,21,9,1.54,0.8
149,7072,70067,70010,1,100,1,,,Gds,67,GLu,15,2,4,38,42,20,9,1.31,4.59,5,38,32,30,5,1.49,0.67
150,7073,70068,70011,1,34,1,,,Ox,159,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
151,7073,70068,70052,1,33,2,,,Gx,90,GLi,17,2,4,37,46,17,9,1.44,3.14,5,33,46,21,9,1.54,0.8
152,7073,70068,70078,1,33,3,,,Rx,189,RGi,161,3,22,26,63,11,7,1.33,1.15,28,26,63,11,7,1.48,0.4
153,7074,70069,70011,1,60,1,,,Ox,159,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
154,7074,70069,70022,0,30,2,,,WR,230,WR,198,,,,,,,,,,,,,,,
155,7074,70069,70074,1,10,3,,,Phf,166,PZf,151,6,3,86,8,6,12,1.41,2.02,3,86,6,8,12,1.57,0.51
156,7075,70070,70011,1,66,1,,,Ox,159,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
157,7075,70070,70022,0,34,2,,,WR,230,WR,198,,,,,,,,,,,,,,,
158,7076,70071,70011,1,70,1,,,Ox,159,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
159,7076,70071,70022,0,30,2,,,WR,230,WR,198,,,,,,,,,,,,,,,
160,7077,70072,70011,1,70,1,,,Ox,159,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
161,7077,70072,70025,0,10,2,,,RK,226,RK,196,,,,,,,,,,,,,,,
162,7077,70072,70073,1,10,3,,,Phf,166,PZf,151,6,3,86,8,6,12,1.41,2.02,3,86,6,8,12,1.57,0.51
163,7077,70072,70074,1,10,4,,,Phf,166,PZf,151,6,3,86,8,6,12,1.41,2.02,3,86,6,8,12,1.57,0.51
164,7078,70073,70011,1,80,1,,,Ox,159,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
165,7078,70073,70001,1,10,2,,,Tv,197,ANz,35,5,4,74,21,5,11,0.99,3.27,10,75,21,4,12,0.97,1.85
166,7078,70073,70008,1,10,3,,,Jdg,116,FLd,4,2,10,79,12,9,11,1.39,0.87,17,79,11,10,11,1.5,0.26
167,7079,70074,70011,1,80,1,,,Ox,159,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
168,7079,70074,70017,1,10,2,,,Ph,165,PZh,149,4,15,50,40,10,9,1.41,5.27,15,55,35,10,11,1.44,0.81
169,7079,70074,70073,1,10,3,,,Phf,166,PZf,151,6,3,86,8,6,12,1.41,2.02,3,86,6,8,12,1.57,0.51
170,7080,70075,70011,1,80,1,,,Ox,159,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
171,7080,70075,70038,1,10,2,,,Dg,53,PDg,129,2,1,32,49,19,9,1.35,2.22,4,25,51,24,7,1.6,0.5
172,7080,70075,70039,1,10,3,,,Dg,53,PDg,129,2,1,32,49,19,9,1.35,2.22,4,25,51,24,7,1.6,0.5
173,7081,70076,70011,1,80,1,,,Ox,159,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
174,7081,70076,70047,1,10,2,,,Gd,66,GLd,12,2,2,40,39,21,9,1.3,1.17,6,41,34,25,9,1.36,0.4
175,7081,70076,70052,1,5,3,,,Gx,90,GLi,17,2,4,37,46,17,9,1.44,3.14,5,33,46,21,9,1.54,0.8
176,7081,70076,70079,1,5,4,,,Rx,189,RGi,161,3,22,26,63,11,7,1.33,1.15,28,26,63,11,7,1.48,0.4
177,7082,70077,70011,1,80,1,,,Ox,159,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
178,7082,70077,70047,1,10,2,,,Gd,66,GLd,12,2,2,40,39,21,9,1.3,1.17,6,41,34,25,9,1.36,0.4
179,7082,70077,70074,1,10,3,,,Phf,166,PZf,151,6,3,86,8,6,12,1.41,2.02,3,86,6,8,12,1.57,0.51
180,7083,70078,70011,1,80,1,,,Ox,159,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
181,7083,70078,70047,1,10,2,,,Gd,66,GLd,12,2,2,40,39,21,9,1.3,1.17,6,41,34,25,9,1.36,0.4
182,7083,70078,70052,1,10,3,,,Gx,90,GLi,17,2,4,37,46,17,9,1.44,3.14,5,33,46,21,9,1.54,0.8
183,7084,70079,70011,1,80,1,,,Ox,159,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
184,7084,70079,70073,1,10,2,,,Phf,166,PZf,151,6,3,86,8,6,12,1.41,2.02,3,86,6,8,12,1.57,0.51
185,7084,70079,70047,1,5,3,,,Gd,66,GLd,12,2,2,40,39,21,9,1.3,1.17,6,41,34,25,9,1.36,0.4
186,7084,70079,70052,1,5,4,,,Gx,90,GLi,17,2,4,37,46,17,9,1.44,3.14,5,33,46,21,9,1.54,0.8
187,7085,70080,70011,1,80,1,,,Ox,159,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
188,7085,70080,70047,1,10,2,,,Gd,66,GLd,12,2,2,40,39,21,9,1.3,1.17,6,41,34,25,9,1.36,0.4
189,7085,70080,70079,1,10,3,,,Rx,189,RGi,161,3,22,26,63,11,7,1.33,1.15,28,26,63,11,7,1.48,0.4
190,7086,70081,70011,1,90,1,,,Ox,159,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
191,7086,70081,70001,1,10,2,,,Tv,197,ANz,35,5,4,74,21,5,11,0.99,3.27,10,75,21,4,12,0.97,1.85
192,7087,70082,70011,1,90,1,,,Ox,159,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
193,7087,70082,70008,1,10,2,,,Jdg,116,FLd,4,2,10,79,12,9,11,1.39,0.87,17,79,11,10,11,1.5,0.26
194,7088,70083,70011,1,90,1,,,Ox,159,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
195,7088,70083,70016,1,10,2,,,De,52,PDe,126,4,1,35,54,11,7,1.36,1.2,4,37,43,20,9,1.61,0.25
196,7089,70084,70011,1,90,1,,,Ox,159,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
197,7089,70084,70017,1,10,2,,,Ph,165,PZh,149,4,15,50,40,10,9,1.41,5.27,15,55,35,10,11,1.44,0.81
198,7090,70085,70011,1,90,1,,,Ox,159,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
199,7090,70085,70025,0,10,2,,,RK,226,RK,196,,,,,,,,,,,,,,,
200,7091,70086,70011,1,90,1,,,Ox,159,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
201,7091,70086,70029,1,10,2,,,Bg,25,CMg,69,2,4,45,36,19,9,1.41,1,18,39,34,27,5,1.6,0.47
202,7092,70087,70011,1,90,1,,,Ox,159,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
203,7092,70087,70038,1,10,2,,,Dg,53,PDg,129,2,1,32,49,19,9,1.35,2.22,4,25,51,24,7,1.6,0.5
204,7093,70088,70011,1,90,1,,,Ox,159,HSi,91,1,,18,61,21,7,0.26,35.27,,18,61,21,7,0.16,39.16
205,7093,70088,70039,1,10,2,,,Dg,53,PDg,129,2,1,32,49,19,9,1.35,2.22,4,25,51,24,7,1.6,0.5
