ID,MU_GLOBAL,MU_SOURCE1,MU_SOURCE2,ISSOIL,SHARE,SEQ,SU_SYM74,SU_CODE74,SU_SYM85,SU_CODE85,SU_SYM90,SU_CODE90,DRAINAGE,T_GRAVEL,T_SAND,T_SILT,T_CLAY,T_USDA_TEX_CLASS,T_BULK_DENSITY,T_OC,S_GRAVEL,S_SAND,S_SILT,S_CLAY,S_USDA_TEX_CLASS,S_BULK_DENSITY,S_OC
41375,3516,3516,,1,50,2,Yk,41,,,,,4,20,39,37,24,9,1.46,0.37,41,30,42,28,5,1.3,0.29
41376,3518,3518,,1,17,1,I,14,,,,,4,4,73,18,9,11,1.46,1.4,,,,,,,
41377,3518,3518,,1,17,2,I,14,,,,,3,26,43,34,23,9,1.3,1.4,,,,,,,
41378,3518,3518,,1,33,4,Yh,40,,,,,4,20,41,39,20,9,1.51,0.41,27,38,40,22,9,1.49,0.22
41379,3518,3518,,1,33,3,Yk,41,,,,,4,20,39,37,24,9,1.46,0.37,41,30,42,28,5,1.3,0.29
41380,3519,3519,,1,25,1,I,14,,,,,4,4,73,18,9,11,1.46,1.4,,,,,,,
41381,3519,3519,,1,25,2,I,14,,,,,3,26,43,34,23,9,1.3,1.4,,,,,,,
41382,3519,3519,,1,50,3,Yk,41,,,,,4,20,39,37,24,9,1.46,0.37,41,30,42,28,5,1.3,0.29
41383,3520,3520,,1,25,1,I,14,,,,,3,26,43,34,23,9,1.3,1.4,,,,,,,
41384,3520,3520,,1,25,2,I,14,,,,,3,4,28,25,47,3,1.4,2.3,,,,,,,
41385,3520,3520,,1,50,3,Yk,41,,,,,4,20,39,37,24,9,1.46,0.37,41,30,42,28,5,1.3,0.29
41386,3522,3522,,1,35,1,Jc,147,,,,,2,10,35,47,18,9,1.39,0.6,11,37,45,18,9,1.41,0.4
41387,3522,3522,,1,35,2,Jc,147,,,,,1,4,14,39,47,3,1.4,0.97,3,15,40,45,3,1.43,0.45
41388,3522,3522,,1,30,3,Vc,29,,,,,2,4,16,29,55,3,1.65,0.75,5,15,28,57,3,1.76,0.45
41389,3523,3523,,1,70,1,Jc,147,,,,,1,4,14,39,47,3,1.4,0.97,3,15,40,45,3,1.43,0.45
41390,3523,3523,,1,30,2,Z,30,,,,,4,6,35,43,22,9,1.3,0.48,5,38,39,23,9,1.35,0.29
41391,3525,3525,,1,40,1,Jc,147,,,,,2,10,35,47,18,9,1.39,0.6,11,37,45,18,9,1.41,0.4
41392,3525,3525,,1,20,3,Qc,16,,,,,6,4,89,6,5,13,1.5,0.4,4,89,5,6,13,1.52,0.21
41393,3525,3525,,1,20,2,Yk,41,,,,,4,20,39,37,24,9,1.46,0.37,41,30,42,28,5,1.3,0.29
41394,3525,3525,,1,10,5,G,1,,,,,2,4,38,40,22,9,1.33,1.27,5,37,35,28,5,1.43,0.42
41395,3525,3525,,1,10,4,Zo,31,,,,,4,6,36,43,21,9,1.3,0.53,7,40,39,21,9,1.32,0.27
41396,3526,3526,,1,20,1,Jc,147,,,,,2,10,35,47,18,9,1.39,0.6,11,37,45,18,9,1.41,0.4
41397,3526,3526,,1,20,2,Jc,147,,,,,1,4,14,39,47,3,1.4,0.97,3,15,40,45,3,1.43,0.45
41398,3526,3526,,1,20,5,Vc,29,,,,,2,4,16,29,55,3,1.65,0.75,5,15,28,57,3,1.76,0.45
41399,3526,3526,,1,20,4,Zm,32,,,,,4,6,24,44,32,5,1.3,0.48,5,24,40,36,5,1.35,0.29
41400,3526,3526,,1,20,3,Zo,31,,,,,4,6,36,43,21,9,1.3,0.53,7,40,39,21,9,1.32,0.27
41401,3527,3527,,1,20,1,Jc,147,,,,,2,10,35,47,18,9,1.39,0.6,11,37,45,18,9,1.41,0.4
41402,3527,3527,,1,20,2,Jc,147,,,,,1,4,14,39,47,3,1.4,0.97,3,15,40,45,3,1.43,0.45
41403,3527,3527,,1,20,4,Rc,11,,,,,4,17,43,35,22,9,1.4,0.77,18,38,36,26,9,1.52,0.53
41404,3527,3527,,1,20,3,Vc,29,,,,,2,4,16,29,55,3,1.65,0.75,5,15,28,57,3,1.76,0.45
41405,3527,3527,,1,10,6,Zm,32,,,,,4,6,24,44,32,5,1.3,0.48,5,24,40,36,5,1.35,0.29
41406,3527,3527,,1,10,5,Zo,31,,,,,4,6,36,43,21,9,1.3,0.53,7,40,39,21,9,1.32,0.27
41407,3528,3528,,1,30,1,Jc,147,,,,,2,10,35,47,18,9,1.39,0.6,11,37,45,18,9,1.41,0.4
41408,3528,3528,,1,30,2,Jc,147,,,,,1,4,14,39,47,3,1.4,0.97,3,15,40,45,3,1.43,0.45
41409,3528,3528,,1,20,4,Zm,32,,,,,4,6,24,44,32,5,1.3,0.48,5,24,40,36,5,1.35,0.29
41410,3528,3528,,1,20,3,Zo,31,,,,,4,6,36,43,21,9,1.3,0.53,7,40,39,21,9,1.32,0.27
41411,3529,3529,,1,30,1,Jc,147,,,,,2,10,35,47,18,9,1.39,0.6,11,37,45,18,9,1.41,0.4
41412,3529,3529,,1,30,2,Jc,147,,,,,1,4,14,39,47,3,1.4,0.97,3,15,40,45,3,1.43,0.45
41413,3529,3529,,1,20,4,Zm,32,,,,,4,6,24,44,32,5,1.3,0.48,5,24,40,36,5,1.35,0.29
41414,3529,3529,,1,20,3,Zo,31,,,,,4,6,36,43,21,9,1.3,0.53,7,40,39,21,9,1.32,0.27
41415,3530,3530,,1,90,1,Je,149,,,,,2,4,39,41,20,9,1.36,0.9,8,41,38,21,9,1.39,0.4
41416,3530,3530,,1,10,2,Zo,31,,,,,4,6,36,43,21,9,1.3,0.53,7,40,39,21,9,1.32,0.27
41417,3532,3532,,1,50,1,Lc,79,,,,,4,4,26,27,47,3,1.35,1.22,7,21,25,54,3,1.4,0.58
41418,3532,3532,,1,20,3,Bv,75,,,,,4,5,21,28,51,3,1.43,0.97,5,18,28,54,3,1.46,0.45
41419,3532,3532,,1,20,2,E,20,,,,,3,10,42,38,20,9,1.3,1.96,,,,,,,
41420,3532,3532,,1,10,4,I,14,,,,,3,26,43,34,23,9,1.3,1.4,,,,,,,
41421,3533,3533,,1,30,1,Lc,79,,,,,4,4,79,10,11,11,1.4,0.5,8,70,10,20,10,1.49,0.28
41422,3533,3533,,1,30,2,Lc,79,,,,,4,9,47,29,24,9,1.54,0.86,8,39,27,34,5,1.52,0.38
41423,3533,3533,,1,30,3,Vc,29,,,,,2,4,16,29,55,3,1.65,0.75,5,15,28,57,3,1.76,0.45
41424,3533,3533,,1,10,4,Ge,2,,,,,2,4,37,40,23,9,1.35,1.07,5,36,36,28,5,1.5,0.39
41425,3534,3534,,1,30,1,Lk,80,,,,,4,4,28,28,44,3,1.34,0.7,8,23,28,49,3,1.38,0.59
41426,3534,3534,,1,20,3,I,14,,,,,3,26,43,34,23,9,1.3,1.4,,,,,,,
41427,3534,3534,,1,20,2,Lc,79,,,,,4,9,47,29,24,9,1.54,0.86,8,39,27,34,5,1.52,0.38
41428,3534,3534,,1,10,6,E,20,,,,,3,10,42,38,20,9,1.3,1.96,,,,,,,
